table,candidate,votes
1,MARCO  ENRIQUEZ-OMINAMI GUMUCIO,282
1,ALEJANDRO  GUILLIER ALVAREZ,1220
1,BEATRIZ SANCHEZ MUÑOZ,1019
1,CAROLINA GOIC BOROEVIC,308
1,JOSE ANTONIO KAST RIST,415
1,SEBASTIAN PIÑERA ECHENIQUE,1918
1,EDUARDO ARTES BRICHETTI,27
1,Votos Blancos,34
1,Votos Nulos,44
1,ALEJANDRO NAVARRO BRAIN,19
